id;gdp;gdp_per_capita;gdp_source;gdp_year
126;147.57;0.000084;country_total_population_share;2024
127;10.39;0.000042;country_total_population_share;2024
128;60.22;0.000042;country_total_population_share;2024
129;22.88;0.000042;country_total_population_share;2024
130;62.15;0.000042;country_total_population_share;2024
131;190.95;0.000042;country_total_population_share;2024
132;19.89;0.000042;country_total_population_share;2024
133;41.59;0.000042;country_total_population_share;2024
134;48.60;0.000042;country_total_population_share;2024
135;30.97;0.000042;country_total_population_share;2024
136;43.72;0.000042;country_total_population_share;2024
137;20.68;0.000042;country_total_population_share;2024
138;27.14;0.000042;country_total_population_share;2024
139;43.34;0.000042;country_total_population_share;2024
140;65.68;0.000042;country_total_population_share;2024
141;69.43;0.000042;country_total_population_share;2024
142;44.12;0.000042;country_total_population_share;2024
143;26.10;0.000042;country_total_population_share;2024
144;45.99;0.000042;country_total_population_share;2024
145;37.06;0.000042;country_total_population_share;2024
146;65.85;0.000042;country_total_population_share;2024
147;41.41;0.000042;country_total_population_share;2024
148;71.65;0.000042;country_total_population_share;2024
149;44.21;0.000042;country_total_population_share;2024
150;26.50;0.000042;country_total_population_share;2024
151;28.37;0.000042;country_total_population_share;2024
152;48.70;0.000042;country_total_population_share;2024
153;28.58;0.000042;country_total_population_share;2024
154;16.50;0.000042;country_total_population_share;2024
155;19.21;0.000042;country_total_population_share;2024
156;23.44;0.000042;country_total_population_share;2024
157;66.06;0.000042;country_total_population_share;2024
158;11.41;0.000042;country_total_population_share;2024
159;15.67;0.000042;country_total_population_share;2024
160;58.20;0.000042;country_total_population_share;2024
161;20.49;0.000042;country_total_population_share;2024
162;30.83;0.000042;country_total_population_share;2024
163;21.13;0.000042;country_total_population_share;2024
164;21.49;0.000042;country_total_population_share;2024
165;42.36;0.000042;country_total_population_share;2024
166;56.84;0.000042;country_total_population_share;2024
167;34.62;0.000042;country_total_population_share;2024
168;34.34;0.000042;country_total_population_share;2024
169;73.81;0.000042;country_total_population_share;2024
170;19.23;0.000042;country_total_population_share;2024
171;63.89;0.000042;country_total_population_share;2024
172;19.06;0.000042;country_total_population_share;2024
173;44.52;0.000042;country_total_population_share;2024
174;30.21;0.000042;country_total_population_share;2024
175;34.74;0.000042;country_total_population_share;2024
176;17.56;0.000042;country_total_population_share;2024
177;1.70;0.000037;country_total_population_share;2024
178;3.25;0.000037;country_total_population_share;2024
179;1.04;0.000037;country_total_population_share;2024
180;1.27;0.000037;country_total_population_share;2024
181;4.96;0.000037;country_total_population_share;2024
182;0.89;0.000037;country_total_population_share;2024
183;6.03;0.000037;country_total_population_share;2024
184;1.03;0.000037;country_total_population_share;2024
185;0.77;0.000037;country_total_population_share;2024
186;24.01;0.000037;country_total_population_share;2024
187;2.21;0.000037;country_total_population_share;2024
188;1.19;0.000037;country_total_population_share;2024
189;0.31;0.000037;country_total_population_share;2024
190;1.26;0.000037;country_total_population_share;2024
191;1.12;0.000037;country_total_population_share;2024
192;9.43;0.000060;country_total_population_share;2024
193;34.17;0.000060;country_total_population_share;2024
194;3.83;0.000060;country_total_population_share;2024
195;8.73;0.000060;country_total_population_share;2024
196;6.73;0.000060;country_total_population_share;2024
197;8.69;0.000060;country_total_population_share;2024
198;90.97;0.000060;country_total_population_share;2024
199;11.73;0.000060;country_total_population_share;2024
200;11.49;0.000060;country_total_population_share;2024
201;9.38;0.000060;country_total_population_share;2024
202;3.63;0.000060;country_total_population_share;2024
203;26.77;0.000060;country_total_population_share;2024
204;27.07;0.000060;country_total_population_share;2024
205;14.55;0.000060;country_total_population_share;2024
206;21.01;0.000060;country_total_population_share;2024
207;27.94;0.000060;country_total_population_share;2024
208;8.42;0.000060;country_total_population_share;2024
209;10.99;0.000060;country_total_population_share;2024
210;58.39;0.000052;country_total_population_share;2024
211;38.05;0.000052;country_total_population_share;2024
212;68.02;0.000052;country_total_population_share;2024
213;28.09;0.000052;country_total_population_share;2024
214;32.09;0.000052;country_total_population_share;2024
215;23.14;0.000052;country_total_population_share;2024
216;52.27;0.000052;country_total_population_share;2024
217;43.04;0.000052;country_total_population_share;2024
218;47.12;0.000052;country_total_population_share;2024
219;27.93;0.000052;country_total_population_share;2024
220;43.73;0.000052;country_total_population_share;2024
221;27.85;0.000052;country_total_population_share;2024
222;19.86;0.000052;country_total_population_share;2024
223;21.49;0.000052;country_total_population_share;2024
