source_country;source_region;rows
Hungary;Salgótarján;1
Hungary;Szeged;1
Hungary;Szekszárd;1
Hungary;Szombathely;1
Hungary;Székesfehérvár;1
Hungary;Érd;1
Iceland;Capital Region;1
Independent State of Croatia;Great Parish of Dubrava;1
Ireland;Dublin City;1
Ireland;Dún Laoghaire–Rathdown;1
Ireland;Fingal;1
Ireland;South Dublin;1
Isle of Man;Glenfaba;1
Isle of Man;Michael;1
Isle of Man;Rushen;1
Italy;Apulia;1
Italy;Basilicata;1
Italy;Emilia-Romagna;1
Italy;Friuli Venezia Giulia;1
Italy;Lazio;1
Italy;Lombardy;1
Italy;Marche;1
Italy;Molise;1
Italy;Piedmont;1
Italy;Sardinia;1
Italy;Sicily;1
Italy;Tuscany;1
Italy;Umbria;1
Italy;Veneto;1
Jersey;Saint Clement;1
Jersey;Saint Helier;1
Jersey;Saint John;1
Jersey;Saint Mary;1
Jersey;Saint Ouen;1
Jersey;Saint Saviour;1
Jersey;Trinity;1
Kingdom of Bavaria;Buchhorn;1
Kingdom of Bulgaria;Dojran Municipality;1
Kingdom of Bulgaria;Petrovec Municipality;1
Kingdom of Bulgaria;Staro Nagoričane Municipality;1
Kingdom of Bulgaria;Valandovo Municipality;1
Kingdom of France;Free Imperial City of Strasbourg;1
Kingdom of Hungary;Municipality of Brezovica;1
Kingdom of Romania;Dubăsari County;1
Kingdom of Romania;Golta;1
Kingdom of Romania;Ismail County;1
Kingdom of Romania;Lăpușna County;1
Kingdom of Romania;Q12731453;1
Kingdom of Romania;Q12731468;1
Kingdom of Romania;Q12731472;1
Kingdom of Romania;Q12731479;1
Kingdom of Romania;Q12731481;1
Kingdom of Romania;Q12731483;1
Kingdom of Romania;Q12731494;1
Kingdom of Romania;Q18537383;1
Kingdom of Romania;Q18537682;1
Kingdom of Romania;Q18548594;1
Kingdom of Serbia;Dojran Municipality;1
Kingdom of Serbia;Petrovec Municipality;1
Kingdom of Serbia;Staro Nagoričane Municipality;1
Kingdom of Serbia;Valandovo Municipality;1
Kingdom of Serbs, Croats and Slovenes;Dojran Municipality;1
Kingdom of Serbs, Croats and Slovenes;Petrovec Municipality;1
Kingdom of Serbs, Croats and Slovenes;Staro Nagoričane Municipality;1
Kingdom of Serbs, Croats and Slovenes;Valandovo Municipality;1
Kingdom of Württemberg;Württemberg;1
Kingdom of Yugoslavia;Dojran Municipality;1
Kingdom of Yugoslavia;Petrovec Municipality;1
Kingdom of Yugoslavia;Staro Nagoričane Municipality;1
Kingdom of Yugoslavia;Valandovo Municipality;1
Kosovo;Peja District;1
Latvia;Aizkraukle Municipality;1
Latvia;Aizpute Municipality;1
Latvia;Aknīste Municipality;1
Latvia;Alsunga Municipality;1
Latvia;Amata Municipality;1
Latvia;Ape Municipality;1
Latvia;Auce Municipality;1
Latvia;Babīte Municipality;1
Latvia;Baldone Municipality;1
Latvia;Baltinava Municipality;1
Latvia;Balvi Municipality;1
Latvia;Bauska Municipality;1
Latvia;Beverīna Municipality;1
Latvia;Brocēni Municipality;1
Latvia;Carnikava Municipality;1
Latvia;Cesvaine Municipality;1
Latvia;Cibla Municipality;1
Latvia;Cēsis Municipality;1
Latvia;Dagda Municipality;1
Latvia;Dobele Municipality;1
Latvia;Dundaga Municipality;1
Latvia;Durbe Municipality;1
Latvia;Engure Municipality;1
Latvia;Garkalne Municipality;1
Latvia;Grobiņa Municipality;1
Latvia;Iecava Municipality;1
Latvia;Ikšķile Municipality;1
Latvia;Inčukalns Municipality;1
Latvia;Jaunpiebalga Municipality;1
Latvia;Jēkabpils Municipality;1
Latvia;Jūrmala;1
Latvia;Kocēni Municipality;1
Latvia;Koknese Municipality;1
Latvia;Krimulda Municipality;1
Latvia;Krustpils Municipality;1
Latvia;Lielvārde Municipality;1
Latvia;Liepāja;1
Latvia;Lubāna Municipality;1
Latvia;Ludza Municipality;1
Latvia;Līgatne Municipality;1
Latvia;Līvāni Municipality;1
Latvia;Mazsalaca Municipality;1
Latvia;Mālpils Municipality;1
Latvia;Mārupe Municipality;1
Latvia;Mērsrags Municipality;1
Latvia;Naukšēni Municipality;1
Latvia;Nereta Municipality;1
Latvia;Nīca Municipality;1
Latvia;Olaine Municipality;1
Latvia;Ozolnieki Municipality;1
Latvia;Preiļi Municipality;1
Latvia;Priekule Municipality;1
Latvia;Priekuļi Municipality;1
Latvia;Pārgauja Municipality;1
Latvia;Pāvilosta Municipality;1
