id;population;population_source;population_date;source_region;source_country;match_method
183;29993;matched_scaled_official;2023-01-01;Järva County;Estonia;matched
184;206040;matched_scaled_official;2021-01-01;Lapland;Finland;matched
185;83581;matched_scaled_official;2021-01-01;Kainuu;Finland;matched
186;190718;matched_scaled_official;2021-01-01;North Karelia;Finland;matched
187;147037;matched_scaled_official;2021-12-31;South Karelia;Finland;matched
188;189867;matched_scaled_official;2021-01-01;Kymenlaakso;Finland;matched
189;1987512;matched_scaled_official;2021-01-01;Uusimaa;Finland;matched
190;58679;imputed_scaled_official;2023-01-01;;;unmatched
191;251093;matched_scaled_official;2021-01-01;Satakunta;Finland;matched
192;205002;matched_scaled_official;2021-01-01;Ostrobothnia;Finland;matched
193;79259;matched_scaled_official;2021-01-01;Central Ostrobothnia;Finland;matched
194;483472;imputed_scaled_official;2023-01-01;;;unmatched
195;165212;imputed_scaled_official;2023-01-01;;;unmatched
196;317782;matched_scaled_official;2021-01-01;Central Finland;Finland;matched
197;204256;imputed_scaled_official;2023-01-01;;;unmatched
198;610498;matched_scaled_official;2021-01-01;Pirkanmaa;Finland;matched
