id;population;population_source;population_date;source_region;source_country;match_method
761;375619;imputed_scaled_official;2023-01-01;;;unmatched
762;195696;imputed_scaled_official;2023-01-01;;;unmatched
763;12661;imputed_scaled_official;2023-01-01;;;unmatched
764;103871;imputed_scaled_official;2023-01-01;;;unmatched
765;533487;imputed_scaled_official;2023-01-01;;;unmatched
766;186195;imputed_scaled_official;2023-01-01;;;unmatched
767;1386298;imputed_scaled_official;2023-01-01;;;unmatched
768;534739;imputed_scaled_official;2023-01-01;;;unmatched
769;767546;matched_scaled_official;2024-12-31;Žilina region;Slovakia;matched
770;906211;matched_scaled_official;2024-12-31;Prešov Region;Slovakia;matched
771;871296;matched_scaled_official;2024-12-31;Košice Region;Slovakia;matched
772;823844;matched_scaled_official;2024-12-31;Bratislava Region;Slovakia;matched
773;632744;matched_scaled_official;2024-12-31;Trenčín Region;Slovakia;matched
774;683707;matched_scaled_official;2024-12-31;Banská Bystrica Region;Slovakia;matched
775;744652;matched_scaled_official;2024-12-31;Nitra Region;Slovakia;matched
776;2120000;matched_scaled_official;2020-07-01;Municipality of Podvelka;Slovenia;fuzzy_contain
777;254180;matched_scaled_official;2025-09-30;Norrbotten County;Sweden;matched
778;135463;matched_scaled_official;2025-09-30;Jämtland County;Sweden;matched
779;292241;matched_scaled_official;2025-09-30;Dalarna County;Sweden;matched
780;289374;matched_scaled_official;2025-09-30;Värmland County;Sweden;matched
781;1815915;matched_scaled_official;2025-09-30;Västra Götaland County;Sweden;matched
782;246282;matched_scaled_official;2025-09-30;Västernorrland County;Sweden;matched
783;289911;matched_scaled_official;2025-09-30;Gävleborg County;Sweden;matched
784;419350;matched_scaled_official;2025-09-30;Uppsala County;Sweden;matched
785;2538227;matched_scaled_official;2025-09-30;Stockholm County;Sweden;matched
786;307404;matched_scaled_official;2025-09-30;Södermanland County;Sweden;matched
787;482829;matched_scaled_official;2025-09-30;Östergötland County;Sweden;matched
788;250990;matched_scaled_official;2025-09-30;Kalmar County;Sweden;matched
789;160223;matched_scaled_official;2025-09-30;Blekinge County;Sweden;matched
790;1464118;matched_scaled_official;2025-09-30;Skåne County;Sweden;matched
791;353439;matched_scaled_official;2025-09-30;Halland County;Sweden;matched
792;62333;matched_scaled_official;2025-09-30;Gotland County;Sweden;matched
793;286986;matched_scaled_official;2025-09-30;Västmanland County;Sweden;matched
794;377882;matched_scaled_official;2025-09-30;Jönköping County;Sweden;matched
795;315093;matched_scaled_official;2025-09-30;Örebro County;Sweden;matched
796;207760;matched_scaled_official;2025-09-30;Kronoberg County;Sweden;matched
797;622351;imputed_scaled_official;2023-01-01;;;unmatched
798;815859;imputed_scaled_official;2023-01-01;;;unmatched
799;639466;imputed_scaled_official;2023-01-01;;;unmatched
800;196523;imputed_scaled_official;2023-01-01;;;unmatched
801;384442;imputed_scaled_official;2023-01-01;;;unmatched
802;423476;imputed_scaled_official;2023-01-01;;;unmatched
803;884473;imputed_scaled_official;2023-01-01;;;unmatched
804;578402;imputed_scaled_official;2023-01-01;;;unmatched
805;1177547;imputed_scaled_official;2023-01-01;;;unmatched
806;728983;imputed_scaled_official;2023-01-01;;;unmatched
807;9834908;imputed_scaled_official;2023-01-01;;;unmatched
808;5508711;imputed_scaled_official;2023-01-01;;;unmatched
809;5067117;imputed_scaled_official;2023-01-01;;;unmatched
810;2837457;imputed_scaled_official;2023-01-01;;;unmatched
811;2084946;imputed_scaled_official;2023-01-01;;;unmatched
812;2764466;imputed_scaled_official;2023-01-01;;;unmatched
813;2145528;imputed_scaled_official;2023-01-01;;;unmatched
814;1826874;imputed_scaled_official;2023-01-01;;;unmatched
815;657145;imputed_scaled_official;2023-01-01;;;unmatched
816;592625;imputed_scaled_official;2023-01-01;;;unmatched
817;655696;imputed_scaled_official;2023-01-01;;;unmatched
818;1120102;imputed_scaled_official;2023-01-01;;;unmatched
819;1034453;imputed_scaled_official;2023-01-01;;;unmatched
820;283299;imputed_scaled_official;2023-01-01;;;unmatched
821;1076948;imputed_scaled_official;2023-01-01;;;unmatched
822;553969;imputed_scaled_official;2023-01-01;;;unmatched
823;290856;imputed_scaled_official;2023-01-01;;;unmatched
824;659633;imputed_scaled_official;2023-01-01;;;unmatched
825;1050132;imputed_scaled_official;2023-01-01;;;unmatched
826;923685;imputed_scaled_official;2023-01-01;;;unmatched
827;879782;imputed_scaled_official;2023-01-01;;;unmatched
828;481600;imputed_scaled_official;2023-01-01;;;unmatched
829;734711;imputed_scaled_official;2023-01-01;;;unmatched
830;646128;imputed_scaled_official;2023-01-01;;;unmatched
831;503690;imputed_scaled_official;2023-01-01;;;unmatched
832;985833;imputed_scaled_official;2023-01-01;;;unmatched
833;946851;imputed_scaled_official;2023-01-01;;;unmatched
834;1869688;imputed_scaled_official;2023-01-01;;;unmatched
