?region	?regionLabel	?population	?populationDate
<http://www.wikidata.org/entity/Q90884090>	"Q90884090"	3329793	"1930-12-01T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>
<http://www.wikidata.org/entity/Q91122357>	"Q91122357"	327014	"1919-08-21T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>
<http://www.wikidata.org/entity/Q91122362>	"Q91122362"	462307	"1919-08-21T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>
<http://www.wikidata.org/entity/Q91122364>	"Q91122364"	309301	"1919-08-21T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>
<http://www.wikidata.org/entity/Q91122367>	"Q91122367"	176985	"1919-08-21T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>
<http://www.wikidata.org/entity/Q91122372>	"Q91122372"	52842	"1919-08-21T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>
<http://www.wikidata.org/entity/Q91122375>	"Q91122375"	58769	"1919-08-21T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>
<http://www.wikidata.org/entity/Q91122380>	"Q91122380"	80615	"1919-08-21T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>
<http://www.wikidata.org/entity/Q91122384>	"Q91122384"	127360	"1919-08-21T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>
<http://www.wikidata.org/entity/Q91122389>	"Q91122389"	95573	"1919-08-21T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>
<http://www.wikidata.org/entity/Q91122392>	"Q91122392"	95941	"1919-08-21T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>
<http://www.wikidata.org/entity/Q91122399>	"Q91122399"	164341	"1919-08-21T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>
<http://www.wikidata.org/entity/Q91122401>	"Q91122401"	159277	"1919-08-21T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>
<http://www.wikidata.org/entity/Q91122406>	"Q91122406"	172750	"1919-08-21T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>
<http://www.wikidata.org/entity/Q91122410>	"Q91122410"	271011	"1919-08-21T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>
<http://www.wikidata.org/entity/Q91785411>	"Q91785411"	103635	"1921-02-15T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>
<http://www.wikidata.org/entity/Q91809911>	"Q91809911"	176833	"1921-02-15T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>
<http://www.wikidata.org/entity/Q1284>	"Abruzzo"@en	1308451	"2019-01-01T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>
<http://www.wikidata.org/entity/Q206363>	"Acquaviva"@en	2118	"2014-01-01T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>
<http://www.wikidata.org/entity/Q206363>	"Acquaviva"@en	2118	"2022-01-01T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>
<http://www.wikidata.org/entity/Q1862462>	"Adana vilayet"@en	403400	"1915-01-01T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>
<http://www.wikidata.org/entity/Q1862462>	"Adana vilayet"@en	403400	"1885-01-01T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>
<http://www.wikidata.org/entity/Q1862462>	"Adana vilayet"@en	402439	"1915-01-01T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>
<http://www.wikidata.org/entity/Q1862462>	"Adana vilayet"@en	402439	"1885-01-01T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>
<http://www.wikidata.org/entity/Q3708641>	"Adda"@en	160148	"1797-01-01T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>
<http://www.wikidata.org/entity/Q3853777>	"Adrianople eyalet"@en	1200000	"1844-01-01T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>
<http://www.wikidata.org/entity/Q1311980>	"Adrianople vilayet"@en	80000	"1905-01-01T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>
<http://www.wikidata.org/entity/Q3734>	"Adygea"@en	500731	"2018-01-01T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>
<http://www.wikidata.org/entity/Q3734>	"Adygea"@en	500731	"2016-01-01T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>
<http://www.wikidata.org/entity/Q3734>	"Adygea"@en	500731	"2025-01-01T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>
<http://www.wikidata.org/entity/Q3734>	"Adygea"@en	500731	"2021-01-01T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>
<http://www.wikidata.org/entity/Q3734>	"Adygea"@en	500731	"2018-01-01T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>
<http://www.wikidata.org/entity/Q3734>	"Adygea"@en	500731	"2016-01-01T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>
<http://www.wikidata.org/entity/Q3734>	"Adygea"@en	500731	"2025-01-01T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>
<http://www.wikidata.org/entity/Q3734>	"Adygea"@en	500731	"2021-01-01T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>
<http://www.wikidata.org/entity/Q1992708>	"Aerodrom Municipality"@en	77735	"2021-09-05T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>
<http://www.wikidata.org/entity/Q2729021>	"Agder"@en	305244	"2019-01-01T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>
<http://www.wikidata.org/entity/Q201647>	"Aghdam District"@en	202200	"2019-01-01T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>
<http://www.wikidata.org/entity/Q2045300>	"Aglona Municipality"@en	3042	"2017-01-01T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>
<http://www.wikidata.org/entity/Q2045300>	"Aglona Municipality"@en	3042	"2020-01-01T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>
<http://www.wikidata.org/entity/Q2045300>	"Aglona Municipality"@en	3042	"2021-01-01T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>
<http://www.wikidata.org/entity/Q2045300>	"Aglona Municipality"@en	3042	"2019-01-01T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>
<http://www.wikidata.org/entity/Q865676>	"Aizkraukle Municipality"@en	8017	"2020-01-01T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>
<http://www.wikidata.org/entity/Q865676>	"Aizkraukle Municipality"@en	8017	"2019-01-01T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>
<http://www.wikidata.org/entity/Q865676>	"Aizkraukle Municipality"@en	8017	"2021-01-01T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>
<http://www.wikidata.org/entity/Q865676>	"Aizkraukle Municipality"@en	8017	"2017-01-01T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>
<http://www.wikidata.org/entity/Q97229842>	"Aizkraukle Municipality"@en	28246	"2022-01-01T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>
<http://www.wikidata.org/entity/Q97229842>	"Aizkraukle Municipality"@en	28246	"2021-01-01T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>
<http://www.wikidata.org/entity/Q97229842>	"Aizkraukle Municipality"@en	28246	"2023-01-01T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>
<http://www.wikidata.org/entity/Q97229842>	"Aizkraukle Municipality"@en	28246	"2024-01-01T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>
<http://www.wikidata.org/entity/Q97229842>	"Aizkraukle Municipality"@en	28246	"2025-01-01T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>
<http://www.wikidata.org/entity/Q2485015>	"Aizpute Municipality"@en	8083	"2019-01-01T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>
<http://www.wikidata.org/entity/Q2485015>	"Aizpute Municipality"@en	8083	"2020-01-01T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>
<http://www.wikidata.org/entity/Q2485015>	"Aizpute Municipality"@en	8083	"2021-01-01T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>
<http://www.wikidata.org/entity/Q2485015>	"Aizpute Municipality"@en	8083	"2017-01-01T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>
<http://www.wikidata.org/entity/Q331701>	"Ajdovščina Municipality"@en	19671	"2019-07-01T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>
<http://www.wikidata.org/entity/Q331701>	"Ajdovščina Municipality"@en	19671	"2018-07-01T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>
<http://www.wikidata.org/entity/Q331701>	"Ajdovščina Municipality"@en	19671	"2008-01-01T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>
<http://www.wikidata.org/entity/Q331701>	"Ajdovščina Municipality"@en	19671	"2020-01-01T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>
<http://www.wikidata.org/entity/Q331701>	"Ajdovščina Municipality"@en	19671	"2018-01-01T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>
<http://www.wikidata.org/entity/Q331701>	"Ajdovščina Municipality"@en	19671	"2014-01-01T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>
<http://www.wikidata.org/entity/Q331701>	"Ajdovščina Municipality"@en	19671	"2010-07-01T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>
<http://www.wikidata.org/entity/Q331701>	"Ajdovščina Municipality"@en	19671	"2014-07-01T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>
<http://www.wikidata.org/entity/Q331701>	"Ajdovščina Municipality"@en	19671	"2008-07-01T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>
<http://www.wikidata.org/entity/Q331701>	"Ajdovščina Municipality"@en	19671	"2016-07-01T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>
<http://www.wikidata.org/entity/Q331701>	"Ajdovščina Municipality"@en	19671	"2010-01-01T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>
<http://www.wikidata.org/entity/Q331701>	"Ajdovščina Municipality"@en	19671	"2013-01-01T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>
<http://www.wikidata.org/entity/Q331701>	"Ajdovščina Municipality"@en	19671	"2017-07-01T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>
<http://www.wikidata.org/entity/Q331701>	"Ajdovščina Municipality"@en	19671	"2009-01-01T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>
<http://www.wikidata.org/entity/Q331701>	"Ajdovščina Municipality"@en	19671	"2002-01-01T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>
<http://www.wikidata.org/entity/Q331701>	"Ajdovščina Municipality"@en	19671	"2012-01-01T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>
<http://www.wikidata.org/entity/Q331701>	"Ajdovščina Municipality"@en	19671	"2015-01-01T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>
<http://www.wikidata.org/entity/Q331701>	"Ajdovščina Municipality"@en	19671	"2011-01-01T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>
<http://www.wikidata.org/entity/Q331701>	"Ajdovščina Municipality"@en	19671	"2019-01-01T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>
<http://www.wikidata.org/entity/Q331701>	"Ajdovščina Municipality"@en	19671	"2009-07-01T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>
<http://www.wikidata.org/entity/Q331701>	"Ajdovščina Municipality"@en	19671	"2019-01-01T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>
<http://www.wikidata.org/entity/Q331701>	"Ajdovščina Municipality"@en	19671	"2020-07-01T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>
<http://www.wikidata.org/entity/Q331701>	"Ajdovščina Municipality"@en	19671	"2013-07-01T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>
<http://www.wikidata.org/entity/Q331701>	"Ajdovščina Municipality"@en	19671	"2011-07-01T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>
<http://www.wikidata.org/entity/Q331701>	"Ajdovščina Municipality"@en	19671	"2015-07-01T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>
<http://www.wikidata.org/entity/Q331701>	"Ajdovščina Municipality"@en	19671	"2016-01-01T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>
<http://www.wikidata.org/entity/Q331701>	"Ajdovščina Municipality"@en	19671	"2012-07-01T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>
<http://www.wikidata.org/entity/Q331701>	"Ajdovščina Municipality"@en	19671	"2017-01-01T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>
<http://www.wikidata.org/entity/Q50615>	"Akershus"@en	716020	"2023-01-01T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>
<http://www.wikidata.org/entity/Q50615>	"Akershus"@en	716020	"2019-01-01T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>
<http://www.wikidata.org/entity/Q50615>	"Akershus"@en	716020	"2016-01-01T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>
<http://www.wikidata.org/entity/Q1023041>	"Akmenė District Municipality"@en	19286	"2023-01-01T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>
<http://www.wikidata.org/entity/Q1023041>	"Akmenė District Municipality"@en	19286	"2007-01-01T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>
<http://www.wikidata.org/entity/Q1023041>	"Akmenė District Municipality"@en	19286	"2002-01-01T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>
<http://www.wikidata.org/entity/Q1023041>	"Akmenė District Municipality"@en	19286	"2008-01-01T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>
