alias_type;source_country;source_region;target_country;target_region;count;status;note
region;Czechoslovakia;Q8534961;Czech Republic;;1;review;region_alias_candidate
region;Czechoslovakia;Q90818597;Czech Republic;;1;review;region_alias_candidate
region;Czechoslovakia;Q90818603;Czech Republic;;1;review;region_alias_candidate
region;Czechoslovakia;Q90818604;Czech Republic;;1;review;region_alias_candidate
region;Czechoslovakia;Q90818609;Czech Republic;;1;review;region_alias_candidate
region;Czechoslovakia;Q90818610;Czech Republic;;1;review;region_alias_candidate
region;Czechoslovakia;Q90884090;Czech Republic;;1;review;region_alias_candidate
region;Czechoslovakia;Q91122357;Czech Republic;;1;review;region_alias_candidate
region;Czechoslovakia;Q91122362;Czech Republic;;1;review;region_alias_candidate
region;Czechoslovakia;Q91122364;Czech Republic;;1;review;region_alias_candidate
region;Czechoslovakia;Q91122367;Czech Republic;;1;review;region_alias_candidate
region;Czechoslovakia;Q91122372;Czech Republic;;1;review;region_alias_candidate
region;Czechoslovakia;Q91122375;Czech Republic;;1;review;region_alias_candidate
region;Czechoslovakia;Q91122380;Czech Republic;;1;review;region_alias_candidate
region;Czechoslovakia;Q91122384;Czech Republic;;1;review;region_alias_candidate
region;Czechoslovakia;Q91122389;Czech Republic;;1;review;region_alias_candidate
region;Czechoslovakia;Q91122392;Czech Republic;;1;review;region_alias_candidate
region;Czechoslovakia;Q91122399;Czech Republic;;1;review;region_alias_candidate
region;Czechoslovakia;Q91122401;Czech Republic;;1;review;region_alias_candidate
region;Czechoslovakia;Q91122406;Czech Republic;;1;review;region_alias_candidate
region;Czechoslovakia;Q91122410;Czech Republic;;1;review;region_alias_candidate
region;Czechoslovakia;Q91785411;Czech Republic;;1;review;region_alias_candidate
region;Czechoslovakia;Q91809911;Czech Republic;;1;review;region_alias_candidate
region;Czechoslovakia;Western Slovakia;Czech Republic;;1;review;region_alias_candidate
region;Czechoslovakia;Země Slezská;Czech Republic;;1;review;region_alias_candidate
region;Czechoslovakia;Země Česká;Czech Republic;;1;review;region_alias_candidate
region;Czechoslovakia;Žilina region (1948 – 1960);Czech Republic;;1;review;region_alias_candidate
region;Democratic Federal Yugoslavia;Aračinovo Municipality;Serbia;;1;review;region_alias_candidate
region;Democratic Federal Yugoslavia;Dojran Municipality;Serbia;;1;review;region_alias_candidate
region;Democratic Federal Yugoslavia;Petrovec Municipality;Serbia;;1;review;region_alias_candidate
region;Democratic Federal Yugoslavia;Staro Nagoričane Municipality;Serbia;;1;review;region_alias_candidate
region;Democratic Federal Yugoslavia;Valandovo Municipality;Serbia;;1;review;region_alias_candidate
region;Federal People's Republic of Yugoslavia;Aračinovo Municipality;Serbia;;1;review;region_alias_candidate
region;Federal People's Republic of Yugoslavia;Dojran Municipality;Serbia;;1;review;region_alias_candidate
region;Federal People's Republic of Yugoslavia;Petrovec Municipality;Serbia;;1;review;region_alias_candidate
region;Federal People's Republic of Yugoslavia;Staro Nagoričane Municipality;Serbia;;1;review;region_alias_candidate
region;Federal People's Republic of Yugoslavia;Valandovo Municipality;Serbia;;1;review;region_alias_candidate
region;Finland;Kanta-Häme;Finland;;1;todo;region_alias_candidate
region;Finland;Southwest Finland;Finland;;1;todo;region_alias_candidate
region;Finland;Åland;Finland;;1;todo;region_alias_candidate
region;France;Anaa;France;;1;todo;region_alias_candidate
region;France;Arue;France;;1;todo;region_alias_candidate
region;France;Arutua;France;;1;todo;region_alias_candidate
region;France;Auvergne;France;;1;todo;region_alias_candidate
region;France;Bora-Bora;France;;1;todo;region_alias_candidate
region;France;Bourgogne-Franche-Comté;France;;1;todo;region_alias_candidate
region;France;Brittany;France;;1;todo;region_alias_candidate
region;France;Burgundy;France;;1;todo;region_alias_candidate
region;France;Corsica;France;;1;todo;region_alias_candidate
region;France;Fakarava;France;;1;todo;region_alias_candidate
region;France;Fangatau;France;;1;todo;region_alias_candidate
region;France;Fatu-Hiva;France;;1;todo;region_alias_candidate
region;France;Faʻaʻā;France;;1;todo;region_alias_candidate
region;France;Franche-Comté;France;;1;todo;region_alias_candidate
region;France;French Guiana;France;;1;todo;region_alias_candidate
region;France;French Polynesia;France;;1;todo;region_alias_candidate
region;France;Guadeloupe;France;;1;todo;region_alias_candidate
region;France;Hao;France;;1;todo;region_alias_candidate
region;France;Hikueru;France;;1;todo;region_alias_candidate
region;France;Hitiaa O Te Ra;France;;1;todo;region_alias_candidate
region;France;Hiva-Oa;France;;1;todo;region_alias_candidate
region;France;Languedoc-Roussillon;France;;1;todo;region_alias_candidate
region;France;Lower Normandy;France;;1;todo;region_alias_candidate
region;France;Makemo;France;;1;todo;region_alias_candidate
region;France;Maupiti;France;;1;todo;region_alias_candidate
region;France;Mayotte;France;;1;todo;region_alias_candidate
region;France;Moorea-Maiao;France;;1;todo;region_alias_candidate
region;France;Napuka;France;;1;todo;region_alias_candidate
region;France;New Caledonia;France;;1;todo;region_alias_candidate
region;France;Normandy;France;;1;todo;region_alias_candidate
region;France;Nuku-Hiva;France;;1;todo;region_alias_candidate
region;France;Nukutavake;France;;1;todo;region_alias_candidate
region;France;Occitania;France;;1;todo;region_alias_candidate
region;France;Paea;France;;1;todo;region_alias_candidate
region;France;Papara;France;;1;todo;region_alias_candidate
region;France;Papeete;France;;1;todo;region_alias_candidate
region;France;Picardy;France;;1;todo;region_alias_candidate
